Kayseri,İncesu,24405,28567,30181
Kilis,Elbeyli,5982,5986,5830
Kilis,Kilis Merkez,103531,118033,133225
Kilis,Musabeyli,13962,13334,12612
Kilis,Polateli,5306,5137,5072
Kocaeli,Başiskele,79625,116650,124998
Kocaeli,Darıca,173139,207345,231442
Kocaeli,Derince,133739,142849,147518
Kocaeli,Dilovası,45714,50551,54664
Kocaeli,Gebze,338412,382166,411800
Kocaeli,Gölcük,149238,165663,178872
Kocaeli,Kandıra,49203,51897,53394
Kocaeli,Karamürsel,54225,57557,59504
Kocaeli,Kartepe,104882,121326,147814
Kocaeli,Körfez,146210,169304,181666
Kocaeli,Çayırova,109698,134146,157503
Kocaeli,İzmit,338710,367990,380831
Konya,Ahırlı,4722,4753,4666
Konya,Akören,6390,5838,5857
Konya,Akşehir,94133,93885,93719
Konya,Altınekin,14357,14351,14593
Konya,Beyşehir,71366,74469,76629
Konya,Bozkır,27457,25894,25199
Konya,Cihanbeyli,54892,51748,50021
Konya,Derbent,4612,4267,4014
Konya,Derebucak,7272,6031,5540
Konya,Doğanhisar,17683,15810,14445
Konya,Emirgazi,9135,8535,7739
Konya,Ereğli,139131,146998,156253
Konya,Güneysınır,9769,9288,9287
Konya,Hadim,13260,12015,11049
Konya,Halkapınar,4519,4066,4009
Konya,Hüyük,16296,15652,15033
Konya,Ilgın,55790,54228,53239
Konya,Kadınhanı,33065,32144,31494
Konya,Karapınar,48968,49978,51324
Konya,Karatay,295332,338976,385432
Konya,Kulu,50675,50825,51794
Konya,Meram,340817,344546,348071
Konya,Sarayönü,26355,27026,28533
Konya,Selçuklu,584644,662808,700358
Konya,Seydişehir,63773,64822,66067
Konya,Taşkent,6620,6296,5931
Konya,Tuzlukçu,6890,6529,6127
Konya,Yalıhüyük,1666,1710,1678
Konya,Yunak,23956,21972,20646
Konya,Çeltik,10209,9713,9726
Konya,Çumra,65054,67282,68551
Kütahya,Altıntaş,17071,16108,14985
Kütahya,Aslanapa,10249,8945,8082
Kütahya,Domaniç,15424,14652,13941
Kütahya,Dumlupınar,2986,2944,2803
Kütahya,Emet,21506,19864,17811
Kütahya,Gediz,51185,50274,49240
Kütahya,Hisarcık,13438,12069,10840
Kütahya,Kütahya Merkez,253175,272367,275111
Kütahya,Pazarlar,5335,5086,4816
Kütahya,Simav,64899,63155,60866
Kütahya,Tavşanlı,101899,101460,101130
Kütahya,Çavdarhisar,7349,6303,5752
Kütahya,Şaphane,7038,6030,5701
Kırklareli,Babaeski,49121,47944,46656
Kırklareli,Demirköy,8566,8856,8970
Kırklareli,Kofçaz,2707,2308,2156
Kırklareli,Kırklareli Merkez,92514,103042,114800
Kırklareli,Lüleburgaz,140236,149184,156648
Kırklareli,Pehlivanköy,3965,3505,3278
Kırklareli,Pınarhisar,18914,18456,17499
Kırklareli,Vize,27700,28541,29024
Kırıkkale,Bahşili,6910,7399,7423
Kırıkkale,Balışeyh,6100,6478,6060
Kırıkkale,Delice,8914,9075,10200
Kırıkkale,Karakeçili,4077,3369,3124
Kırıkkale,Keskin,17814,17620,16265
Kırıkkale,Kırıkkale Merkez,197037,198477,192558
Kırıkkale,Sulakyurt,7089,6953,6145
Kırıkkale,Yahşihan,20833,31013,38530
Kırıkkale,Çelebi,2318,2633,2748
Kırşehir,Akpınar,7874,7465,6918
Kırşehir,Akçakent,4184,3889,3438
Kırşehir,Boztepe,5365,5464,5229
Kırşehir,Kaman,37421,35763,33469
Kırşehir,Kırşehir Merkez,134367,157635,163349
Kırşehir,Mucur,18633,18536,18235
Kırşehir,Çiçekdağı,14863,14186,13908
Malatya,Akçadağ,29573,29064,32609
Malatya,Arapgir,10796,10275,10214
Malatya,Arguvan,8162,7626,7106
Malatya,Battalgazi,299863,304787,276319
Malatya,Darende,28060,26166,25524
Malatya,Doğanyol,4440,4051,4078
Malatya,Doğanşehir,40064,38690,35947
Malatya,Hekimhan,19946,18345,18015
Malatya,Kale,5677,6085,6189
Malatya,Kuluncak,8320,7783,7623
Malatya,Pütürge,16612,13889,13318
Malatya,Yazıhan,14315,13786,14710
Malatya,Yeşilyurt,283716,319618,298839
Manisa,Ahmetli,16104,16525,17403
Manisa,Akhisar,163107,173026,180509
Manisa,Alaşehir,99962,104622,105776
Manisa,Demirci,43027,40048,35604
Manisa,Gölmarmara,15384,15212,15176
Manisa,Gördes,29768,27703,25759
Manisa,Kula,45587,44001,42952
Manisa,Köprübaşı,14191,13185,12404
Manisa,Kırkağaç,45730,38459,37718
Manisa,Salihli,156861,162787,165353
